,borocode,zip,geometry,longitude,latitude,index_right,PUMA,Shape_Leng,Shape_Area
80,5.0,10307,POINT (-74.24410670826178 40.50953112385938),-74.24410670826178,40.509531123859375,20,3901,189931.874969,571035855.977
81,2.0,10457,POINT (-73.89834943816875 40.84604568736388),-73.89834943816875,40.84604568736388,4,3705,68697.5999192,122483690.262
82,2.0,10463,POINT (-73.8939211860628 40.88277969546436),-73.8939211860628,40.88277969546436,0,3701,53227.1136077,97928516.6801
83,2.0,10466,POINT (-73.85958124409599 40.89108506540671),-73.85958124409599,40.891085065406706,1,3702,106167.592328,188993662.687
84,1.0,10032,POINT (-73.93971034945567 40.83454888730576),-73.93971034945567,40.834548887305765,10,3801,62589.0551493,81247268.6263
85,1.0,10021,POINT (-73.95134169404905 40.77065254346265),-73.95134169404905,40.770652543462646,14,3805,54449.5033787,55222267.9563
86,2.0,10460,POINT (-73.88301210482436 40.84464445300564),-73.88301210482436,40.844644453005635,4,3705,68697.5999192,122483690.262
87,5.0,10310,POINT (-74.11482187344863 40.63450894226954),-74.11482187344863,40.63450894226954,22,3903,153890.524919,376477826.274
88,2.0,10461,POINT (-73.84673061822738 40.84086754432402),-73.84673061822738,40.84086754432402,3,3704,47970.2030233,106216908.278
89,2.0,10470,POINT (-73.86794200000536 40.90043990975718),-73.86794200000536,40.90043990975718,1,3702,106167.592328,188993662.687
90,2.0,10456,POINT (-73.90464799347694 40.82061890603643),-73.90464799347694,40.82061890603643,9,3710,90067.9543636,137760289.541
91,1.0,10021,POINT (-73.95637252319334 40.77365564161395),-73.95637252319334,40.77365564161395,14,3805,54449.5033787,55222267.9563
92,3.0,11207,POINT (-73.88723723774561 40.68068925695902),-73.88723723774561,40.68068925695902,30,4008,97558.4670821,164339106.08
93,3.0,11209,POINT (-74.02953835191357 40.63362571338249),-74.02953835191357,40.633625713382486,35,4013,48170.458,107113832.637
94,3.0,11238,POINT (-73.95616471363496 40.68181211172472),-73.95616471363496,40.68181211172472,26,4004,73010.0956282,86682052.0213
95,3.0,11219,POINT (-73.98900318822345 40.63888883871238),-73.98900318822345,40.638888838712376,36,4014,51089.0682127,87680448.1856
96,3.0,11235,POINT (-73.9667748761715 40.57610774698186),-73.9667748761715,40.57610774698186,40,4018,76220.7229706,96030474.3336
