"B05001_001E","B05001_001M","B05001_002E","B05001_002M","B05001_003E","B05001_003M","B05001_004E","B05001_004M","B05001_005E","B05001_005M","B05001_006E","B05001_006M","GEO_ID","NAME"
"Estimate!!Total:","Margin of Error!!Total:","Estimate!!Total:!!U.S. citizen, born in the United States","Margin of Error!!Total:!!U.S. citizen, born in the United States","Estimate!!Total:!!U.S. citizen, born in Puerto Rico or U.S. Island Areas","Margin of Error!!Total:!!U.S. citizen, born in Puerto Rico or U.S. Island Areas","Estimate!!Total:!!U.S. citizen, born abroad of American parent(s)","Margin of Error!!Total:!!U.S. citizen, born abroad of American parent(s)","Estimate!!Total:!!U.S. citizen by naturalization","Margin of Error!!Total:!!U.S. citizen by naturalization","Estimate!!Total:!!Not a U.S. citizen","Margin of Error!!Total:!!Not a U.S. citizen","id","Geographic Area Name"
"174908","46","152040","1328","564","165","1518","265","11924","1008","8862","934","7950000US3600906","Monroe County (South) PUMA, New York"
"98712","*****","95430","362","604","203","365","128","1180","219","1133","226","7950000US3601000","Genesee & Orleans Counties PUMA, New York"
"105030","35","98881","724","690","382","566","119","3202","462","1691","343","7950000US3601101","Niagara County (Southwest)--Greater Niagara Falls & North Tonawanda Area PUMA, New York"
"105790","35","101806","413","205","109","428","136","2119","291","1232","207","7950000US3601102","Niagara County (North & East) PUMA, New York"
"108036","73","101310","880","728","268","529","167","3626","531","1843","376","7950000US3601201","Erie County (Northwest) PUMA, New York"
"125509","52","107751","1004","436","270","572","172","8322","668","8428","735","7950000US3601202","Erie County (North Central) PUMA, New York"
"111319","40","106486","554","162","96","317","140","3212","458","1142","288","7950000US3601203","Erie County (Northeast) PUMA, New York"
"149634","55","140530","1132","875","254","570","139","4425","507","3234","843","7950000US3601204","Erie County (Central) PUMA, New York"
"141902","1994","128864","1791","2622","502","556","192","5535","782","4325","669","7950000US3601205","Erie County (West Central)--Buffalo City (East) PUMA, New York"
"114596","1988","90405","1996","6556","658","721","218","6713","674","10201","1111","7950000US3601206","Erie County (West Central)--Buffalo City (West) PUMA, New York"
